City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,igarka,67.4667,86.5833,10.67,84,4,4.44,RU,1723655865
188,isafjordur,66.0755,-23.124,11.02,76,75,2.06,IS,1723655867
189,kalamb,19.05,73.95,25.37,87,94,2.34,IN,1723655868
190,sengiley,53.9622,48.7944,14.04,78,100,4.51,RU,1723655869
191,afaahiti,-17.75,-149.2833,21.93,83,15,3.25,PF,1723655871
192,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1723655872
193,kourou,5.1552,-52.6478,33.03,54,7,4.43,GF,1723655874
194,mount isa,-20.7333,139.5,9.87,66,0,0.51,AU,1723655875
195,ashchysay,43.5542,68.8889,25.6,30,82,6.57,KZ,1723655877
196,mozarlandia,-14.7447,-50.5706,37.57,13,62,3.34,BR,1723655878
197,sabzevar,36.2126,57.6819,32.99,23,42,10.71,IR,1723655733
198,piti village,13.4626,144.6933,27.03,89,0,2.06,GU,1723655881
199,barakani,-12.1356,44.4317,25.07,70,50,0.54,KM,1723655882
200,fortuna,40.5982,-124.1573,18.29,93,75,2.57,US,1723655884
201,imamoglu,37.2651,35.6572,29.84,54,0,3.19,TR,1723655885
202,nar'yan-mar,67.6713,53.087,9.4,91,100,6.79,RU,1723655886
203,sal rei,16.1833,-22.9167,28.11,69,20,6.69,CV,1723655888
204,tsiombe,-25.3,45.4833,21.2,74,0,2.27,MG,1723655891
205,port lincoln,-34.7333,135.8667,13.9,81,55,4.09,AU,1723655892
206,bikenibeu village,1.3673,173.1241,27.98,83,40,4.12,KI,1723655894
207,zamora,-4.0692,-78.9567,29.58,53,84,2.39,EC,1723655895
208,kerikeri,-35.2268,173.9474,9.39,89,56,1.23,NZ,1723655897
209,posto fiscal rolim de moura,-13.0833,-62.2667,37.66,17,0,0.89,BR,1723655898
210,mahanoro,-19.9,48.8,20.64,78,0,3.18,MG,1723655899
211,brokopondo,4.75,-55.1667,30.65,47,5,1.24,SR,1723655901
212,susuman,62.7833,148.1667,-0.72,88,93,2.1,RU,1723655902
